Layer,Name,GEOID,Population,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
Census tract,Tract 1401,17031140100,3194,60625,17031140100,0.037520095,0.028610354,0.067938187,0.042215611
Census tract,Tract 1402,17031140200,6514,60625,17031140200,0.061542661,0.059945504,0.066406794,0.062284554
Census tract,Tract 1403.01,17031140301,2839,60625,17031140301,0.026509752,0.040871935,0.028539607,0.027600699
Census tract,Tract 1403.01,17031140301,2839,60630,17031140301,0.000807639,0.001192606,0.000315657,0.00077238
Census tract,Tract 1403.02,17031140302,4189,60625,17031140302,0.040765568,0.003633061,0.040929974,0.038862917
Census tract,Tract 1403.02,17031140302,4189,60630,17031140302,0.000997672,0.002385212,0.001893939,0.001197189
Census tract,Tract 1404,17031140400,5978,60630,17031140400,0.107035964,0.124627311,0.108585859,0.108364872
Census tract,Tract 1405,17031140500,3920,60630,17031140500,0.058292555,0.061419201,0.091224747,0.062524137
Census tract,Tract 1405,17031140500,3920,60641,17031140500,0.000272437,0.006523765,0.0,0.000691426
Census tract,Tract 1406.01,17031140601,2886,60618,17031140601,0.000548561,0.001945525,0.0,0.000572851
Census tract,Tract 1406.01,17031140601,2886,60625,17031140601,0.02468986,0.011807448,0.008353056,0.021249469
Census tract,Tract 1406.01,17031140601,2886,60630,17031140601,0.000902656,0.026833631,0.004103535,0.002973662
Census tract,Tract 1406.02,17031140602,5003,60618,17031140602,0.002194246,0.009079118,0.004449008,0.002952387
Census tract,Tract 1406.02,17031140602,5003,60625,17031140602,0.053231824,0.029972752,0.061255743,0.053383388
Census tract,Tract 1407.01,17031140701,3028,60625,17031140701,0.033607328,0.068574024,0.032855353,0.035297729
Census tract,Tract 1407.02,17031140702,5882,60618,17031140702,0.003318796,0.020428016,0.002908966,0.004428581
Census tract,Tract 1407.02,17031140702,5882,60625,17031140702,0.053899117,0.025885559,0.053459557,0.052368135
