Layer,Name,GEOID,Population
Census tract,Tract 6810,17031681000,2793
Census tract,Tract 6811,17031681100,2595
Census tract,Tract 6812,17031681200,2472
Census tract,Tract 6813,17031681300,2418
Census tract,Tract 6814,17031681400,2407
Census tract,Tract 6903,17031690300,2443
Census tract,Tract 6904,17031690400,2939
Census tract,Tract 6905,17031690500,632
Census tract,Tract 6909,17031690900,4273
Census tract,Tract 6910,17031691000,2256
Census tract,Tract 6911,17031691100,2811
Census tract,Tract 6912,17031691200,2735
Census tract,Tract 6913,17031691300,2452
Census tract,Tract 6914,17031691400,3160
Census tract,Tract 6915,17031691500,1968
Census tract,Tract 7001,17031700100,3605
Census tract,Tract 7002,17031700200,6521
Census tract,Tract 7003.01,17031700301,6530
Census tract,Tract 7003.02,17031700302,5836
Census tract,Tract 7004.01,17031700401,6337
Census tract,Tract 7004.02,17031700402,4484
Census tract,Tract 7005.01,17031700501,6594
Census tract,Tract 7005.02,17031700502,3449
Census tract,Tract 7101,17031710100,1250
Census tract,Tract 7102,17031710200,4335
Census tract,Tract 7103,17031710300,1544
Census tract,Tract 7104,17031710400,5608
Census tract,Tract 7105,17031710500,4336
Census tract,Tract 7106,17031710600,1719
Census tract,Tract 7107,17031710700,3192
Census tract,Tract 7108,17031710800,4694
Census tract,Tract 7109,17031710900,1972
Census tract,Tract 7110,17031711000,3301
Census tract,Tract 7111,17031711100,2351
Census tract,Tract 7112,17031711200,4949
Census tract,Tract 7113,17031711300,1583
Census tract,Tract 7114,17031711400,2572
Census tract,Tract 7115,17031711500,2503
Census tract,Tract 7201,17031720100,3381
Census tract,Tract 7202,17031720200,3791
Census tract,Tract 7203,17031720300,3929
Census tract,Tract 7204,17031720400,1935
Census tract,Tract 7205,17031720500,1909
Census tract,Tract 7206,17031720600,1768
Census tract,Tract 7207,17031720700,3078
Census tract,Tract 7301,17031730100,2703
Census tract,Tract 7302.01,17031730201,5262
Census tract,Tract 7302.02,17031730202,3098
Census tract,Tract 7303,17031730300,1103
Census tract,Tract 7304,17031730400,4141
Census tract,Tract 7305,17031730500,4233
Census tract,Tract 7306,17031730600,3758
Census tract,Tract 7307,17031730700,2444
Census tract,Tract 7401,17031740100,3136
Census tract,Tract 7402,17031740200,6640
Census tract,Tract 7403,17031740300,4949
Census tract,Tract 7404,17031740400,4465
Census tract,Tract 7501,17031750100,3743
Census tract,Tract 7502,17031750200,2903
Census tract,Tract 7503,17031750300,2526
Census tract,Tract 7504,17031750400,3096
Census tract,Tract 7505,17031750500,5376
Census tract,Tract 7506,17031750600,3406
Census tract,Tract 7608.01,17031760801,4520
Census tract,Tract 7608.02,17031760802,2553
Census tract,Tract 7608.03,17031760803,5788
Census tract,Tract 7706.02,17031770602,5198
Census tract,Tract 7707,17031770700,2301
Census tract,Tract 7709.02,17031770902,3309
Census tract,Tract 8104,17031810400,5481
Census tract,Tract 8233.04,17031823304,6064
